Date,Hour,Name,State,UserActivity
20200101,29436,SensorSofa (2),False,eat
20200101,29436,SensorCama (3),False,eat
20200101,29436,SensorMesaCorredor,True,eat
20200101,29436,SensorSofa,False,eat
20200101,29436,SensorDeTestes,False,eat
20200101,29457,SensorBaseBox,False,eat
20200101,29457,SensorArmario (2),False,eat
20200101,29457,SensorCama,False,eat
20200101,29457,SensorFogao,False,eat
20200101,29457,SensorMesaJantar (4),False,eat
20200101,29457,SensorCama (4),False,eat
20200101,29457,SensorMesaJantar (3),False,eat
20200101,29457,SensorCama (5),False,eat
20200101,29457,SensorMesaJantar,False,eat
20200101,29457,SensorCama (2),False,eat
20200101,29457,SensorSofa (1),False,eat
20200101,29457,SensorPia,False,eat
20200101,29457,SensorMesaJantar (2),False,eat
20200101,29457,SensorRack,False,eat
20200101,29457,SensorCama (1),False,eat
20200101,29457,SensorArmario,False,eat
20200101,29457,SensorRack (1),False,eat
20200101,29457,SensorArmario (1),False,eat
20200101,29457,SensorGeladeira,False,eat
20200101,29457,SensorMesaJantar (1),False,eat
20200101,29457,SensorSofa (2),False,eat
20200101,29457,SensorCama (3),False,eat
20200101,29457,SensorMesaCorredor,True,eat
20200101,29457,SensorSofa,False,eat
20200101,29457,SensorDeTestes,False,eat
20200101,29478,SensorBaseBox,False,eat
20200101,29478,SensorArmario (2),False,eat
20200101,29478,SensorCama,False,eat
20200101,29478,SensorFogao,False,eat
20200101,29478,SensorMesaJantar (4),False,eat
20200101,29478,SensorCama (4),False,eat
20200101,29478,SensorMesaJantar (3),False,eat
20200101,29478,SensorCama (5),False,eat
20200101,29478,SensorMesaJantar,False,eat
20200101,29478,SensorCama (2),False,eat
20200101,29478,SensorSofa (1),False,eat
20200101,29478,SensorPia,False,eat
20200101,29478,SensorMesaJantar (2),False,eat
20200101,29478,SensorRack,False,eat
20200101,29478,SensorCama (1),False,eat
20200101,29478,SensorArmario,False,eat
20200101,29478,SensorRack (1),False,eat
20200101,29478,SensorArmario (1),False,eat
20200101,29478,SensorGeladeira,False,eat
20200101,29478,SensorMesaJantar (1),False,eat
20200101,29478,SensorSofa (2),False,eat
20200101,29478,SensorCama (3),False,eat
20200101,29478,SensorMesaCorredor,True,eat
20200101,29478,SensorSofa,False,eat
20200101,29478,SensorDeTestes,False,eat
20200101,29508,SensorBaseBox,False,eat
20200101,29508,SensorArmario (2),False,eat
20200101,29508,SensorCama,False,eat
20200101,29508,SensorFogao,False,eat
20200101,29508,SensorMesaJantar (4),True,eat
20200101,29508,SensorCama (4),False,eat
20200101,29508,SensorMesaJantar (3),False,eat
20200101,29508,SensorCama (5),False,eat
20200101,29508,SensorMesaJantar,False,eat
20200101,29508,SensorCama (2),False,eat
20200101,29508,SensorSofa (1),False,eat
20200101,29508,SensorPia,False,eat
20200101,29508,SensorMesaJantar (2),False,eat
20200101,29508,SensorRack,False,eat
20200101,29508,SensorCama (1),False,eat
20200101,29508,SensorArmario,False,eat
20200101,29508,SensorRack (1),False,eat
20200101,29508,SensorArmario (1),False,eat
20200101,29508,SensorGeladeira,False,eat
20200101,29508,SensorMesaJantar (1),False,eat
20200101,29508,SensorSofa (2),False,eat
20200101,29508,SensorCama (3),False,eat
20200101,29508,SensorMesaCorredor,True,eat
20200101,29508,SensorSofa,False,eat
20200101,29508,SensorDeTestes,False,eat
20200101,29536,SensorBaseBox,False,eat
20200101,29536,SensorArmario (2),False,eat
20200101,29536,SensorCama,False,eat
20200101,29536,SensorFogao,False,eat
20200101,29536,SensorMesaJantar (4),True,eat
20200101,29536,SensorCama (4),False,eat
20200101,29536,SensorMesaJantar (3),False,eat
20200101,29536,SensorCama (5),False,eat
20200101,29536,SensorMesaJantar,False,eat
20200101,29536,SensorCama (2),False,eat
20200101,29536,SensorSofa (1),False,eat
20200101,29536,SensorPia,False,eat
20200101,29536,SensorMesaJantar (2),False,eat
20200101,29536,SensorRack,False,eat
20200101,29536,SensorCama (1),False,eat
20200101,29536,SensorArmario,False,eat
20200101,29536,SensorRack (1),False,eat
20200101,29536,SensorArmario (1),False,eat
20200101,29536,SensorGeladeira,False,eat
20200101,29536,SensorMesaJantar (1),False,eat
20200101,29536,SensorSofa (2),False,eat
20200101,29536,SensorCama (3),False,eat
20200101,29536,SensorMesaCorredor,True,eat
20200101,29536,SensorSofa,False,eat
20200101,29536,SensorDeTestes,False,eat
20200101,29567,SensorBaseBox,False,eat
20200101,29567,SensorArmario (2),False,eat
20200101,29567,SensorCama,False,eat
20200101,29567,SensorFogao,False,eat
20200101,29567,SensorMesaJantar (4),False,eat
20200101,29567,SensorCama (4),False,eat
20200101,29567,SensorMesaJantar (3),True,eat
20200101,29567,SensorCama (5),False,eat
20200101,29567,SensorMesaJantar,False,eat
20200101,29567,SensorCama (2),False,eat
20200101,29567,SensorSofa (1),False,eat
20200101,29567,SensorPia,False,eat
20200101,29567,SensorMesaJantar (2),False,eat
20200101,29567,SensorRack,False,eat
20200101,29567,SensorCama (1),False,eat
20200101,29567,SensorArmario,False,eat
20200101,29567,SensorRack (1),False,eat
20200101,29567,SensorArmario (1),False,eat
20200101,29567,SensorGeladeira,False,eat
20200101,29567,SensorMesaJantar (1),False,eat
20200101,29567,SensorSofa (2),False,eat
20200101,29567,SensorCama (3),False,eat
20200101,29567,SensorMesaCorredor,False,eat
20200101,29567,SensorSofa,False,eat
20200101,29567,SensorDeTestes,False,eat
20200101,29595,SensorBaseBox,False,eat
20200101,29595,SensorArmario (2),False,eat
20200101,29595,SensorCama,False,eat
20200101,29595,SensorFogao,False,eat
20200101,29595,SensorMesaJantar (4),True,eat
20200101,29595,SensorCama (4),False,eat
20200101,29595,SensorMesaJantar (3),True,eat
20200101,29595,SensorCama (5),False,eat
20200101,29595,SensorMesaJantar,False,eat
20200101,29595,SensorCama (2),False,eat
20200101,29595,SensorSofa (1),False,eat
20200101,29595,SensorPia,False,eat
20200101,29595,SensorMesaJantar (2),False,eat
20200101,29595,SensorRack,False,eat
20200101,29595,SensorCama (1),False,eat
20200101,29595,SensorArmario,False,eat
20200101,29595,SensorRack (1),False,eat
20200101,29595,SensorArmario (1),False,eat
20200101,29595,SensorGeladeira,True,eat
20200101,29595,SensorMesaJantar (1),False,eat
20200101,29595,SensorSofa (2),False,eat
20200101,29595,SensorCama (3),False,eat
20200101,29595,SensorMesaCorredor,False,eat
20200101,29595,SensorSofa,False,eat
20200101,29595,SensorDeTestes,False,eat
20200101,29626,SensorBaseBox,False,eat
20200101,29626,SensorArmario (2),False,eat
20200101,29626,SensorCama,False,eat
20200101,29626,SensorFogao,False,eat
20200101,29626,SensorMesaJantar (4),True,eat
20200101,29626,SensorCama (4),False,eat
20200101,29626,SensorMesaJantar (3),False,eat
20200101,29626,SensorCama (5),False,eat
20200101,29626,SensorMesaJantar,False,eat
20200101,29626,SensorCama (2),False,eat
20200101,29626,SensorSofa (1),False,eat
20200101,29626,SensorPia,False,eat
20200101,29626,SensorMesaJantar (2),False,eat
20200101,29626,SensorRack,False,eat
20200101,29626,SensorCama (1),False,eat
20200101,29626,SensorArmario,False,eat
20200101,29626,SensorRack (1),False,eat
20200101,29626,SensorArmario (1),False,eat
20200101,29626,SensorGeladeira,True,eat
20200101,29626,SensorMesaJantar (1),False,eat
20200101,29626,SensorSofa (2),False,eat
20200101,29626,SensorCama (3),False,eat
20200101,29626,SensorMesaCorredor,False,eat
20200101,29626,SensorSofa,False,eat
20200101,29626,SensorDeTestes,False,eat
